,n,p,k,sigma,lambda,method,time,error,numiters
30,500,1000,500,1,71.5042303141602,AT,3.672919511795044,0.8729394469820123,518
31,500,1000,500,1,71.5042303141602,LLM,5.4673240184783936,0.8834827976506038,621
32,500,1000,500,1,0,AT,1.3036139011383057,0.7054013457073901,196
33,500,1000,500,1,0,LLM,1.6031835079193115,0.7054013481352938,196
34,500,1000,500,1,74.09404923974408,AT,2.9477407932281494,0.8945374560829024,460
35,500,1000,500,1,74.09404923974408,LLM,4.155540227890015,0.9079112354771663,506
36,500,1000,500,1,0,AT,1.4714808464050293,0.6962200006689273,197
37,500,1000,500,1,0,LLM,1.7970960140228271,0.6962200100288239,197
38,500,1000,500,1,91.95905076125383,AT,2.8588075637817383,0.8838998181747142,432
39,500,1000,500,1,91.95905076125383,LLM,4.066182374954224,0.8985148552851686,502
40,500,1000,500,1,0,AT,1.322411298751831,0.6968742439565043,207
41,500,1000,500,1,0,LLM,1.7358765602111816,0.6968740336988155,209
42,500,1000,500,1,66.3524036202375,AT,2.8630316257476807,0.8773925393721431,453
43,500,1000,500,1,66.3524036202375,LLM,4.027841806411743,0.8898681847326794,493
44,500,1000,500,1,0,AT,1.3631391525268555,0.6751503301259121,204
45,500,1000,500,1,0,LLM,1.664348840713501,0.6751503534427212,203
46,500,1000,500,1,90.64602864085803,AT,3.603105306625366,0.8715562757748228,506
